date,best places to travel,trending destinations,hidden travel gems
2025-03-16 21:00:00,78,0,0
2025-03-16 22:00:00,76,0,0
2025-03-16 23:00:00,81,0,0
2025-03-17 00:00:00,74,0,0
2025-03-17 01:00:00,87,0,0
2025-03-17 02:00:00,84,0,0
2025-03-17 03:00:00,79,0,0
2025-03-17 04:00:00,93,0,0
2025-03-17 05:00:00,82,0,0
2025-03-17 06:00:00,64,0,0
2025-03-17 07:00:00,55,0,0
2025-03-17 08:00:00,68,0,0
2025-03-17 09:00:00,52,0,0
2025-03-17 10:00:00,37,0,0
2025-03-17 11:00:00,23,0,0
2025-03-17 12:00:00,41,0,0
2025-03-17 13:00:00,44,0,0
2025-03-17 14:00:00,55,0,0
2025-03-17 15:00:00,56,0,0
2025-03-17 16:00:00,44,0,0
2025-03-17 17:00:00,57,0,0
2025-03-17 18:00:00,55,0,0
2025-03-17 19:00:00,52,0,0
2025-03-17 20:00:00,49,0,0
2025-03-17 21:00:00,66,0,0
2025-03-17 22:00:00,63,0,0
2025-03-17 23:00:00,54,0,0
2025-03-18 00:00:00,62,0,0
2025-03-18 01:00:00,78,0,0
2025-03-18 02:00:00,84,0,0
2025-03-18 03:00:00,76,0,0
2025-03-18 04:00:00,77,0,0
2025-03-18 05:00:00,65,0,0
2025-03-18 06:00:00,85,0,0
2025-03-18 07:00:00,45,0,0
2025-03-18 08:00:00,64,0,0
2025-03-18 09:00:00,0,0,0
2025-03-18 10:00:00,62,0,0
2025-03-18 11:00:00,38,0,0
2025-03-18 12:00:00,46,0,0
2025-03-18 13:00:00,46,0,0
2025-03-18 14:00:00,60,0,0
2025-03-18 15:00:00,58,0,0
2025-03-18 16:00:00,51,0,0
2025-03-18 17:00:00,53,0,0
2025-03-18 18:00:00,56,0,0
2025-03-18 19:00:00,61,0,0
2025-03-18 20:00:00,52,0,0
2025-03-18 21:00:00,54,0,0
2025-03-18 22:00:00,61,0,0
2025-03-18 23:00:00,53,0,0
2025-03-19 00:00:00,50,0,0
2025-03-19 01:00:00,79,0,0
2025-03-19 02:00:00,67,0,0
2025-03-19 03:00:00,81,0,0
2025-03-19 04:00:00,75,0,0
2025-03-19 05:00:00,86,0,0
2025-03-19 06:00:00,100,0,0
2025-03-19 07:00:00,56,0,0
